td_item,classification,project,issue_number,introduction_time,identification_time,repayment_decision_time,remediation_time,identification_latency,discussion_period,remediation_latency,remediation_latency_without_discussion
HBASE-10631|0,Code-LQualCd,HBASE,10631,28/09/2012,28/02/2014,28/02/2014,28/02/2014,518,,,0
HBASE-10968|0,Design-Des,HBASE,10968,18/11/2013,12/04/2014,12/04/2014,12/04/2014,145,,,0
HBASE-11011|0,Design-Des,HBASE,11011,26/04/2013,17/04/2014,17/04/2014,18/04/2014,356,,,1
HBASE-11229|0,Design-Des,HBASE,11229,06/11/2012,21/05/2014,21/05/2014,22/05/2014,561,,,1
HBASE-17184|0,Code-LQualCd,HBASE,17184,26/05/2012,28/11/2016,28/11/2016,02/12/2016,1647,,,4
HBASE-18092|0,Code-LQualCd,HBASE,18092,20/12/2016,22/05/2017,22/05/2017,25/05/2017,153,,,3
HBASE-19073|0,Design-Des,HBASE,19073,22/05/2014,23/10/2017,23/10/2017,24/10/2017,1250,,,1
HBASE-19183|0,Code-LQualCd,HBASE,19183,21/10/2014,04/11/2017,04/11/2017,04/11/2017,1110,,,0
HBASE-19373|0,Code-LQualCd,HBASE,19373,06/10/2014,29/11/2017,29/11/2017,29/11/2017,1150,,,0
IMPALA-1013|0,Code-SlAlg,IMPALA,1013,02/04/2014,21/05/2014,21/05/2014,04/06/2014,49,,,14
IMPALA-1147|0,Test-LacTst,IMPALA,1147,10/06/2013,11/08/2014,11/08/2014,28/08/2014,427,,,17
IMPALA-2244|0,Code-SlAlg,IMPALA,2244,27/05/2015,24/08/2015,24/08/2015,16/09/2015,89,,,23
IMPALA-231|0,Code-SlAlg,IMPALA,231,10/04/2013,11/04/2013,11/04/2013,16/04/2013,1,,,5
IMPALA-2707|0,Code-SlAlg,IMPALA,2707,06/05/2015,24/11/2015,24/11/2015,07/12/2015,202,,,13
IMPALA-3344|0,Code-LQualCd,IMPALA,3344,30/09/2014,13/04/2016,13/04/2016,18/05/2016,561,,,35
THRIFT-1003|0,Code-LQualCd,THRIFT,1003,27/10/2010,22/11/2010,22/11/2010,26/11/2010,26,,,4
THRIFT-1176|0,Code-LQualCd,THRIFT,1176,28/07/2010,20/05/2011,20/05/2011,22/05/2011,296,,,2
THRIFT-1231|0,Code-DedCd,THRIFT,1231,06/10/2010,05/07/2011,05/07/2011,08/07/2011,272,,,3
THRIFT-1248|0,Design-Des,THRIFT,1248,09/03/2010,29/07/2011,29/07/2011,10/05/2015,507,,,1381
THRIFT-1269|0,Design-Des,THRIFT,1269,06/10/2010,17/08/2011,17/08/2011,22/08/2011,315,,,5
THRIFT-1349|0,Design-Des,THRIFT,1349,30/03/2009,19/09/2011,19/09/2011,10/09/2013,903,,,722
THRIFT-1480|0,Code-LQualCd,THRIFT,1480,11/09/2011,31/12/2011,31/12/2011,03/01/2012,111,,,3
THRIFT-1533|0,Design-Des,THRIFT,1533,15/01/2009,03/03/2012,03/03/2012,21/08/2013,1143,,,536
THRIFT-1583|0,Code-LQualCd,THRIFT,1583,30/11/2010,20/04/2012,20/04/2012,28/04/2012,507,,,8
THRIFT-2017|0,Code-LQualCd,THRIFT,2017,25/10/2006,13/06/2013,13/06/2013,04/08/2013,2423,,,52
THRIFT-2020|0,Code-DedCd,THRIFT,2020,07/06/2013,13/06/2013,13/06/2013,30/08/2013,6,,,78
THRIFT-2021|0,Code-SlAlg,THRIFT,2021,13/04/2012,13/06/2013,13/06/2013,09/10/2013,426,,,118
THRIFT-2032|0,Design-Des,THRIFT,2032,11/01/2008,15/06/2013,15/06/2013,25/06/2013,1982,,,10
THRIFT-221|0,Design-Des,THRIFT,221,07/03/2008,20/11/2008,20/11/2008,29/01/2009,258,,,70
THRIFT-2328|0,Code-LQualCd,THRIFT,2328,15/11/2012,21/01/2014,21/01/2014,21/02/2014,432,,,31
,,,,,,,,,,,
,,,,,,,,,,,
